PPN	EPN	Jahr	Verfasser	Titel	Umfang	Hinweise	Einband	Signatur	Link
601231856	93681005X	1585	Teufel von Guntersdorf, Hans Christoph *1567-1624* ; ID: gnd/138360316	[Stammbuch Hans Christoph Teufel von Guntersdorf]	247, 5, 6 Bl.	Blattzählung Mai 2009, weitere ältere Blattnummerierungen vorhanden#Am Anfang fehlen mehrere Lagen. - 50 Blätter fehlen komplett (7a, 7b, 9a, 9b, 15a, 19a, 19b, 21a, 24a, 25a, 26a, 36a, 37a, 41a, 44a, 48a, 53a, 54a, 56a, 59a, 68a, 72a, 73a, 91a, 97a, 99a, 100a, 105a, 106a, 107a, 108a, 110a, 115a, 117a, 116a, 141a, 163a, 164a, 167a, 168a, 180a, 182a, 191a, 195a, 195b, 196a, 203a, 210a, 231a, 233a). - Von 29 Blättern wurden Malereien oder Text herausgeschnitten (16, 23, 31, 35, 43, 46, 50, 52, 58, 64, 66, 70, 75, 80a, 81, 83, 86, 96, 118, 171, 175, 177, 199, 203, 206, 209, 229, 231, 232); die auf Blatt 63 aufgeklebte Illustration fehlt	Einband: schwarzes Chagrinleder über Holz, wenige Streicheisenlinien, blingeprägt. - Goldschnitt, punziert	Stb 169	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=938881655
601249526	936869356	1592	Neithart, Christian Konrad$cvon ; ID: gnd/138364079	Christophorus Cunradus Neithart Anno Domini 1594	229 Bl.	Blattzählung Mai 2009, weitere ältere Blattnummerierung vorhanden#29 Blätter herausgetrennt (2a, 3a, 11a, 11b, 11c, 11d, 17a, 26a, 35a, 36a, 66a, 66b, 71a, 71b, 90a, 120a, 123a, 123b, 139a, 148a, 157a, 161a, 162a, 162b, 173a, 185a, 185b, 198a, 225a); von Blatt 33 fehlt ein kleineres aufgeklebtes Blatt		Stb 324	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=938364545
655194177	123578049X	1587	Muenderlin, Johann *1559-1605* ; ID: gnd/1014801834	[Stammbuch Johann Muenderlin]	77 Bl.	Enth. auch leere Bl.	Einband: Braunes Kiebitzpapier über Pappe; indigogefärbter Schnitt. - Zusammenstellung von Blättern, die aus einem Stammbuch herausgeschnitten wurden, viele Blätter sind einmontiert. Zeitgen. Paginierung (mit Fehlern).	Stb 1	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1271751844
655194185	1235780503	1581	Albrecht, Johannes ; ID: gnd/1014839408	[Stammbuch Johannes Albrecht]	337 Bl.	Enth. auch leere Bl.	Einband: Blindgeprägtes Rindleder, indigogefärbter Schnitt, Spuren von vier Lederbändern, Ecken restauriert. - 'L M L 1580' (Blindprägung, Vorderdeckel).	Stb 2	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1272005011
655194193	1235780511	1614	Wick, Veit Elias ; ID: gnd/1014840937	[Stammbuch Veit Elias Wick]	237 Bl.	Enth. auch leere Bl.	Einband: Geglättetes Pergament, Prägung dunkel eingefärbt, zwei grüne und zwei gelbe Seidenbandreste; punzierter Goldschnitt.	Stb 3	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1271761475
655194207	123578052X	1619	Heider, Valentin *1605-1664* ; ID: gnd/104079908	[Stammbuch Valentin Heider]	246 Bl.	Enth. auch leere Bl.	Einband: Dunkel gefärbtes Rindleder mit Streicheisenlinien über Holz, Spuren von zwei Schließen; punzierter Goldschnitt. Buntes Marmorpapier in beiden Spiegeln (vorderes defekt). - Blattzählung von Wagner 5, 1-234, 7. Nach den Blättern mit Zählung 123, 126, 137, 160, 161, 165, 196 ist je 1. Bl., nach 203 sind 3 Blätter herausgerissen, die Blattzählung (Wagner, Ende 18. Jh.) wurde danach angebracht. - Blätter mit Wagnerzählung 136, 153, 156, 157, 176, 177, 191 fehlen (unbestimmt, seit wann); 155 u. 216 seit Anf. d. 19. Jh. Die Blätter mit Wagnerzählung 216 u. 217 sind lose.	Stb 4	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1271768623
655194215	1235780538	1620	Heider, Valentin *1605-1664* ; ID: gnd/104079908	[Stammbuch Valentin Heider]	51 Bl.		Einband: Braunes Kiebitzpapier über Pappe, für Wagner neu gebunden; Schnitt rot gesprenkelt.	Stb 5	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1271770385
655194223	1235780546	1622	Vielmann, Johannes *-1635* ; ID: gnd/1015198945	[Stammbuch Johannes Vielmann]	253 Bl.	Enth. auch leere Bl.	Einband: Goldgeprägter Kalblederband, Streicheisenlinien und Stempel, Rücken abgelöst; punzierter Goldschnitt. - 'I V G || 1622' (Goldprägung, Vorderdeckel).	Stb 6	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1272850846
655194231	1235780554	1624	Roth, Ludwig ; ID: gnd/115725989	[Stammbuch Ludwig Roth]	400 Bl.	Enth. auch leere Bl.	Einband: Goldgeprägter Kalblederband, Rollen und Medaillons; punzierter Goldschnitt. - 'L S R & L & p || 1624' (Goldprägung, Vorderdeckel).	Stb 7	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1273089995
65519424X	1235780562	1630	Wickh, Veit *1612-1677* ; ID: gnd/135984920	[Stammbuch Veit Wickh <d.J.>]	174 Bl.		Einband: Goldgeprägtes, genarbtes Rindleder, Streicheisenlinien, Delphinstempel auf Vorder- und Rückdeckel. Goldschnitt.	Stb 8	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1273701577
655194258	1235780570	1559	Weihenmayer, Michael *-1582* ; ID: gnd/119866390	[Stammbuch Michael Weihenmayer]	107 Bl.	Enth. auch leere Bl.	Einband: Blindgeprägter Schweinslederband, 16. Jh., Streicheisenlinien, Rollen (Köpfe).	Stb 9	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1273711610
655194266	1235780589	1736	Essig, Andreas Adam ; ID: gnd/1015262430	[Stammbuch Andreas Adam Essig]	192 Bl.	Enth. auch leere Bl.	Einband: Kalbleder mit wenig Goldprägung. Marmorpapier mit floralem Muster in beiden Spiegeln. Die Blätter des kleineren Buches weisen Goldschnitt auf.	Stb 11	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1273868838
655194274	1235780597	1740	Wagner, Christian Ulrich *1722-1804* ; ID: gnd/118628224	[Stammbuch Christian Ulrich Wagner II.]	177 Bl.	Enth. auch zahlr. leere Bl.	Einband: Geglättetes, rotgefärbtes Pergament mit reicher Goldprägung; punzierter und teilweise indigogefärbter Goldschnitt. Spiegel und Vorsätze blaugrundiges Brokatpapier mit Füllhörnern, Tieren und Figuren.	Stb 13	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1244685577
655194320	1235780651	1740	Sapper, Wilhelm Anton *1723-1781* ; ID: gnd/1015203752	[Stammbuch Wilhelm Anton Sapper]	188 Bl.	Enth. auch leere Bl.	Einband: Kalbleder mit wenig Goldprägung. Goldschnitt. Spiegel und Vorsätze goldener Bronzefirnisdruck auf mit roten und blauen Ornamenten bedrucktem Papier.	Stb 18	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1274431409
655194339	123578066X	1718	Wolff, Peter Wilhelm ; ID: gnd/1095673572	[Stammbuch Peter Wilhelm Wolff]	199 Bl.	Enth. auch leere Bl.	Einband: Schwarz gefärbtes Rindleder mit Goldprägung. Goldschnitt, an Kapital und Ecken punziert. Marmorpapier in beiden Spiegeln und Vorsätzen.	Stb 19	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1274437822
655194347	1235780678	1703	Rehlin, Johann Georg *1681-1751* ; ID: gnd/1015413366	[Stammbuch Johann Georg Rehlin]	180 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin mit Goldprägung; 'I G R N || 1702' (Goldprägung, Vorderdeckel). Goldschnitt. Kamm-Marmorpapier in beiden Spiegeln und Vorsätzen.	Stb 20	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1275241638
655194371	1235780708	1728	Roschmann, Tobias *1701-1777* ; ID: gnd/143042688	[Stammbuch Tobias Roschmann]	142 Bl.	Enth. auch leere Bl.	Einband: Geglättetes, hellrotgefärbtes Pergament mit Goldprägung. Goldschnitt, an Kapital und Ecken punziert.	Stb 23	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=127542175X
65519441X	1235780740	1653	Roth von Holzschwang, Siegmund *1633-1680* ; ID: gnd/1015522696	[Stammbuch Siegmund Roth von Holzschwang]	284 Bl.	Enth. auch leere Bl.	Einband: Rotes Maroquin, Goldprägung; punzierter Goldschnitt. Beide Spiegel und vorderes Vorsatz buntes Kamm-Marmorpapier; das vordere Vorsatz zweiseitig, ebenso die Einlegeblätter nach den Blättern 2, 24, 52, 84, 116, 145, 205, 238 und 262.	Stb 26	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1275629865
655194444	1235780775	1596	Herauf, Georg ; ID: gnd/1015551238	[Stammbuch Georg Herauf]	244 Bl.		Einband: Dunkelrotes Rindleder, Goldprägung, Ziermedaillon in der Mitte beider Deckel; punzierter Goldschnitt; 'G. H. N. || 1593' (Goldprägung, Vorderdeckel). - Der Einband wurde um 1990 restauriert, vorderer Spiegel und vorderes Vorsatz neu.	Stb 27	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1278628010
655194452	1235780783	1666	Wickh, Christian David *1644-1715* ; ID: gnd/128880074	[Stammbuch Christian David Wickh]	314 Bl.	Enth. auch zahlr. leere Bl.	Einband: Hellbraunes Rindleder, vergoldete Streicheisenlinien; punzierter Goldschnitt.	Stb 28	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=127877890X
655194460	1235780791	1686	Frick, Conrad Daniel *1666-1699* ; ID: gnd/122107314	[Stammbuch Conrad Daniel Frick]	238 Bl.	Enth. auch leere Bl.	Einband: Rotbraunes Rindleder mit reicher Goldprägung. Goldschnitt. Spiegel und Vorsätze buntes Achatmarmorpapier.	Stb 29	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1278786295
655194479	1235780805	1662	Rommel, Peter *1643-1708* ; ID: gnd/124534694	[Stammbuch Peter Rommel]	164 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin, Goldprägung; punzierter Goldschnitt; 'P R MDCLXII' (Goldprägung, Vorderdeckel). Spiegel und Vorsätze buntes Kamm-Marmorpapier. Einseitige Kamm-Marmorpapiere nach Bl. 43, 116 und 123.	Stb 30	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1278790551
655194487	1235780821	1679	Schad von Mittelbiberach, Christoph Erhard *1658-1704* ; ID: gnd/1015682197	[Stammbuch Christoph Erhard Schad von Mittelbiberach]	213 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder. Goldschnitt.	Stb 31	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1278792392
655194495	123578083X	1681	Faulhaber, Albrecht ; ID: gnd/1015696139	[Stammbuch Albrecht Faulhaber]	198 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder, vergoldete Streicheisenlinien. Goldschnitt, an Ecken und Kapital punziert; 'ALBERTVS FAVLHABER || 1682' (Goldprägung, Vorderdeckel). Vorsätze und Spiegel Kamm-Marmorpapier.	Stb 32	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1278793895
655194509	1235780848	1726	Roschmann, Tobias *1701-1777* ; ID: gnd/143042688	[Stammbuch Tobias Roschmann]	102 Bl.	Enth. auch leere Bl.	Einband: Braunes Kiebitzpapier über Pappe, für Wagner neu gebunden. Goldschnitt.	Stb 33	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1278795367
655194517	1235780864	1642	Felber, Christoph ; ID: gnd/1011764792	[Stammbuch Christoph Felber]	244 Bl.	Enth. auch leere Bl.	Einband: Kalblederband mit reicher Blindprägung; Reste von je zwei roten Seidenbändern an Vorder- und Rückdeckel; an Kapital und Ecken punzierter Goldschnitt. Wellenmarmorpapier in den Spiegeln.	Stb 34	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1252006616
655194525	1235780872	1723	Frick, Johann Georg *1703-1739* ; ID: gnd/101576407X	[Stammbuch Johann Georg Frick]	185 Bl.	Enth. auch zahlr. leere Bl.	Einband: Lackiertes Kalbleder mit Goldprägung, teilweise schwarz eingefärbt. Goldschnitt, an Kapital punziert. Spiegel und Vorsätze buntes Kleisterpapier.	Stb 35	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=127944861X
655194568	1235780910	1738	Hocheisen, Johannes Paulus ; ID: gnd/1015882315	[Stammbuch Johannes Paulus Hocheisen]	189 Bl.	Enth. auch leere Bl.	Einband: Geglättetes, in verschiedenen Brauntönen gefärbtes Pergament mit geometrischem Muster. Goldschnitt. Spiegel Wellenmarmorpapier.	Stb 39	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1279653221
655194576	1235780929	1730	Stroehlin, Johann Siegmund *1702-1765* ; ID: gnd/1016003161	[Stammbuch Johann Siegmund Stroehlin]	335 Bl.	Enth. auch leere Bl.	Einband: Dunkelrotes Kalbleder mit Goldprägung. Goldschnitt, an Ecken und Kapital punziert. Spiegel und Vorsätze Brokatpapier, türkisfarben patroniert auf Goldgrund.	Stb 40	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1279662891
655194584	1235780937	1730	Hocheisen, Johann David *1708-1768* ; ID: gnd/1016004761	[Stammbuch Johann David Hocheisen]	195 Bl.	Enth. auch leere Bl.	Einband: Rötlich gefärbtes Kalbleder mit Goldprägung. Goldschnitt.	Stb 41	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1279669713
655194592	1235780945	1730	Rau, Wolfgang Thomas *1721-1772* ; ID: gnd/116363509	[Stammbuch Wolfgang Thomas Rau]	161 Bl.	Enth. auch leere Bl.	Einband: Geglättetes, in verschiedenen Brauntönen gefärbtes Pergament mit reicher Goldprägung. Goldschnitt, am Kapital punziert. Spiegel und Vorsätze Brokatpapier, rot patroniert auf Goldgrund.	Stb 42	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1279869399
655194606	1235780953	1710	Weber, Johann ; ID: gnd/1016089317	[Stammbuch Johann Weber]	117 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder, vergoldete Streicheisenlinien. Goldschnitt. Spiegel und Vorsätze goldener Bronzefirnisdruck auf violett gestrichenem Buntpapier.	Stb 43	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=127908636X
655194614	1235780961	1650	Maurus, Hans Christoph ; ID: gnd/1016252242	[Stammbuch Hans Christoph Maurus]	93 Bl.		Einband: Braunes Kiebitzpapier über Pappe, für Wagner neu gebunden; rotgesprenkelter Schnitt. Der Band wurde 1772 für Wagner gebunden, nachdem er nur einzelne Blätter vorgefunden hatte; die ursprünglichen, etwas kleineren Blätter (mit Goldschnitt) sind jeweils am linken Rand auf neue Blätter (mit rotgesprenkeltem Schnitt), die ca. 1 cm länger sind, montiert; auf diesen wird jeder Eintrag wörtlich wiederholt.	Stb 44	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1279874090
655194622	123578097X	1715	Mauchart, Burchard David *1696-1751* ; ID: gnd/121903184	[Stammbuch Burchard David Mauchart]	180 Bl.	Enth. auch leere Bl.	Einband: Geglättetes, in zwei verschiedenen Brauntönen gefärbtes Pergament mit reicher Goldprägung. Goldschnitt.	Stb 45	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1279877731
655194630	1235780988	1654	Mayer, Johann Jakob *1635-1715* ; ID: gnd/122225236	[Stammbuch Johann Jakob Mayer]	238 Bl.	Enth. auch leere Bl.	Einband: Schwarzes goldgeprägtes Maroquin, Streicheisenlinien; Stehkantenvergoldung (Rosetten). Goldschnitt, punziert mit Fischgratmuster. Spiegel und Vorsätze buntes Wellenmarmorpapier.	Stb 46	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1279882581
655194649	1235780996	1692	Frick, Elias *1673-1751* ; ID: gnd/130640697	[Stammbuch Elias Frick]	81 Bl.	Enth. auch leere Bl.	Einband: Braunes Kiebitzpapier über Pappe, für Wagner neu gebunden.	Stb 47	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1281602639
