"Einträger","Stammbuch"
"100153747","100865208"
"100174256","100865208"
"100865208","100865208"
"100873286","100865208"
"100878962","100865208"
"102516901","100865208"
"104155035","100865208"
"104318376","100865208"
"116292008","100865208"
"116294485","100865208"
"116353678","100865208"
"116654406","100865208"
"116812222","100865208"
"116837918","100865208"
"116877537","100865208"
"116951303","100865208"
"116951753","100865208"
"117010847","100865208"
"117039063","100865208"
"117061174","100865208"
"117238333","100865208"
"117269611","100865208"
"117439525","100865208"
"117578436","100865208"
"117599115","100865208"
"117652350","100865208"
"118525697","100865208"
"118538624","100865208"
"118819410","100865208"
"118905422","100865208"
"119387697","100865208"
"120176181","100865208"
"120411342","100865208"
"121242579","100865208"
"121458180","100865208"
"121610772","100865208"
"121776395","100865208"
"121884090","100865208"
"122178157","100865208"
"123004683","100865208"
"123338204","100865208"
"123534380","100865208"
"123650933","100865208"
"124514472","100865208"
"124534740","100865208"
"124542352","100865208"
"124627323","100865208"
"124633927","100865208"
"124637574","100865208"
"124676480","100865208"
"128429070","100865208"
"129057908","100865208"
"129188972","100865208"
"129680435","100865208"
"129688738","100865208"
"130403326","100865208"
"130659185","100865208"
"131795996","100865208"
"139230637","100865208"
"1019747382","100865208"
"1047318326","100865208"
"1047703513","100865208"
"1053582005","100865208"
"1058149210","100865208"
"1058395750","100865208"
"1058396404","100865208"
"1058407775","100865208"
"1058415689","100865208"
"1061161498","100865208"
"1061162249","100865208"
"1061197441","100865208"
"10010701X","100865208"
"10068520X","100865208"
"105220046X","100865208"
"11546364X","100865208"
"11697060X","100865208"
"11728193X","100865208"
"12352394X","100865208"
"12434061X","100865208"
"12451815X","100865208"
"100820956","101031270"
"104136529","101031270"
"104181338","101031270"
"104310138","101031270"
"115446273","101031270"
"115605959","101031270"
"115647376","101031270"
"115661905","101031270"
"115864210","101031270"
"116025883","101031270"
"116040130","101031270"
"116562382","101031270"
"116709685","101031270"
"117120510","101031270"
"117239011","101031270"
"117301213","101031270"
"117429503","101031270"
"117519294","101031270"
"117560111","101031270"
"118728830","101031270"
"119424290","101031270"
"120763583","101031270"
"120966476","101031270"
"123561523","101031270"
"124605397","101031270"
"124702791","101031270"
"124911137","101031270"
"1037932323","101031270"
"1041358040","101031270"
"1051859298","101031270"
"1076554679","101031270"
"12130700X","101031270"
"100870716","1011475146"
"100874932","1011475146"
"104162716","1011475146"
"115825304","1011475146"
"116137819","1011475146"
"116292008","1011475146"
"117144991","1011475146"
"118017985","1011475146"
"121461017","1011475146"
"121538036","1011475146"
"121610772","1011475146"
"121756653","1011475146"
"121813460","1011475146"
"121933555","1011475146"
"121936368","1011475146"
"122746848","1011475146"
"123787858","1011475146"
"124859887","1011475146"
"128658207","1011475146"
"128943432","1011475146"
"129629030","1011475146"
"129704237","1011475146"
"130831999","1011475146"
"131567799","1011475146"
"136778402","1011475146"
"1038750008","1011475146"
"1052610293","1011475146"
"1060228408","1011475146"
"1070959170","1011475146"
"1070960640","1011475146"
"1071069241","1011475146"
"1072184753","1011475146"
"1072383632","1011475146"
"10068520X","1011475146"
"12259052X","1011475146"
"12844701X","1011475146"
"100030378","1011577291"
"100112544","1011577291"
"100227392","1011577291"
"100324258","1011577291"
"100332811","1011577291"
"100618030","1011577291"
"100629008","1011577291"
"100713629","1011577291"
"100792111","1011577291"
"100869416","1011577291"
"102464219","1011577291"
"102816956","1011577291"
"104093447","1011577291"
"104103442","1011577291"
"104130881","1011577291"
"104138327","1011577291"
"104142197","1011577291"
"104177594","1011577291"
"104252758","1011577291"
"104279893","1011577291"
"104319038","1011577291"
"104324961","1011577291"
"104334290","1011577291"
"115381090","1011577291"
"115801774","1011577291"
"115865497","1011577291"
"116266309","1011577291"
"116335238","1011577291"
"116400684","1011577291"
"116458593","1011577291"
"116462485","1011577291"
"116484187","1011577291"
"116494603","1011577291"
"116600705","1011577291"
"116802936","1011577291"
"116866446","1011577291"
"116877537","1011577291"
"117081973","1011577291"
"117129852","1011577291"
"117132217","1011577291"
"117187828","1011577291"
"117212458","1011577291"
"117269611","1011577291"
"117272256","1011577291"
"117311421","1011577291"
"117429732","1011577291"
"117429740","1011577291"
"117621676","1011577291"
"117633259","1011577291"
"117656852","1011577291"
"117665347","1011577291"
"117674184","1011577291"
"118511270","1011577291"
"118743112","1011577291"
"118817167","1011577291"
"118868713","1011577291"
"118869078","1011577291"
"119090198","1011577291"
"119177323","1011577291"
"119238098","1011577291"
"119434547","1011577291"
"119523159","1011577291"
"120096498","1011577291"
"120101238","1011577291"
"120275910","1011577291"
"120557827","1011577291"
"120593343","1011577291"
"121320596","1011577291"
"121440656","1011577291"
"121548163","1011577291"
"121588033","1011577291"
"121709485","1011577291"
"121887499","1011577291"
"121936953","1011577291"
"121944492","1011577291"
"122062280","1011577291"
"122262638","1011577291"
"122440145","1011577291"
"122519965","1011577291"
"122824857","1011577291"
"122898613","1011577291"
"122954475","1011577291"
"123030919","1011577291"
"123230705","1011577291"
"123383560","1011577291"
"124279996","1011577291"
"124366341","1011577291"
"124370985","1011577291"
"124665039","1011577291"
"124696961","1011577291"
"124703879","1011577291"
"124916473","1011577291"
"125827725","1011577291"
"126262225","1011577291"
"128473177","1011577291"
"128645458","1011577291"
"128686316","1011577291"
"128742658","1011577291"
"128893524","1011577291"
"128920335","1011577291"
"128920459","1011577291"
"129051381","1011577291"
"129104868","1011577291"
"129257591","1011577291"
"129367249","1011577291"
"129532967","1011577291"
"129561622","1011577291"
"129595268","1011577291"
"129936952","1011577291"
"130056383","1011577291"
"130415715","1011577291"
"132151812","1011577291"
"132293382","1011577291"
"133319121","1011577291"
"133968030","1011577291"
"142550035","1011577291"
"1011926660","1011577291"
"1019730935","1011577291"
"1019741503","1011577291"
"1019747951","1011577291"
"1021407100","1011577291"
"1021411043","1011577291"
"1026438454","1011577291"
"1028354142","1011577291"
"1028777655","1011577291"
"1028952708","1011577291"
"1028996705","1011577291"
"1029957118","1011577291"
"1033801267","1011577291"
"1060475545","1011577291"
"102140814X","1011577291"
"102634123X","1011577291"
"103376194X","1011577291"
"10407583X","1011577291"
"10413660X","1011577291"
"11601184X","1011577291"
"11682672X","1011577291"
"11686396X","1011577291"
"11806486X","1011577291"
"11852190X","1011577291"
"11951124X","1011577291"
"12137940X","1011577291"
"12226813X","1011577291"
"12249444X","1011577291"
"12844925X","1011577291"
"13051635X","1011577291"
"13154943X","1011577291"
"1068837802","1011764792"
"1068837802","1011764792"
"126260974","101185547X"
"1019760656","1011893436"
"1062675606","1011893436"
"107041543X","1011893436"
"1117049248","1011893436"
"1117103226","1011893436"
"118700804","1011893436"
"124145841","1011893436"
"130007439","1011893436"
"130007439","1011893436"
"132090090","1011893436"
"136522912","1011893436"
"100160107","1011936291"
"100630138","1011936291"
"102478767","1011936291"
"102526613","1011936291"
"103160302","1011936291"
"104156023","1011936291"
"104301279","1011936291"
"104357002","1011936291"
"115465693","1011936291"
"115505768","1011936291"
"115854215","1011936291"
"116137819","1011936291"
"116188235","1011936291"
"116262877","1011936291"
"116292008","1011936291"
"116294485","1011936291"
"116600705","1011936291"
"116661283","1011936291"
"116731087","1011936291"
"116887044","1011936291"
"116951753","1011936291"
"116995890","1011936291"
"117010847","1011936291"
"117039063","1011936291"
"117102490","1011936291"
"117154547","1011936291"
"117238333","1011936291"
"117269611","1011936291"
"117417904","1011936291"
"117539252","1011936291"
"117652350","1011936291"
"118538624","1011936291"
"118607421","1011936291"
"119223473","1011936291"
"120227649","1011936291"
"121109097","1011936291"
"121199258","1011936291"
"121242579","1011936291"
"121300358","1011936291"
"121460967","1011936291"
"121514188","1011936291"
"121575667","1011936291"
"121760766","1011936291"
"121776395","1011936291"
"121846733","1011936291"
"121870928","1011936291"
"121971996","1011936291"
"122227190","1011936291"
"122746848","1011936291"
"122811100","1011936291"
"123004683","1011936291"
"123391164","1011936291"
"123416361","1011936291"
"123650933","1011936291"
"123723574","1011936291"
"124357466","1011936291"
"124501990","1011936291"
"124514472","1011936291"
"124673937","1011936291"
"124702260","1011936291"
"124705758","1011936291"
"128833750","1011936291"
"128872365","1011936291"
"129057908","1011936291"
"129439843","1011936291"
"129698032","1011936291"
"129704237","1011936291"
"129816620","1011936291"
"130877999","1011936291"
"131564153","1011936291"
"1014386160","1011936291"
"1027748910","1011936291"
"1058431153","1011936291"
"1058431153","1011936291"
"1058584847","1011936291"
"1059563231","1011936291"
"1059646153","1011936291"
"1059650444","1011936291"
"1059724219","1011936291"
"1059731738","1011936291"
"1059760029","1011936291"
"10068520X","1011936291"
"11537762X","1011936291"
"11550639X","1011936291"
"11697060X","1011936291"
"11728193X","1011936291"
"12010279X","1011936291"
"12433962X","1011936291"
"120227649","1011938707"
"121109097","1011938707"
"122305167","1011938707"
"122546377","1011938707"
"123652065","1011938707"
"129704237","1011938707"
"130546267","1011938707"
"132461390","1011938707"
"132517647","1011938707"
"137832818","1011938707"
"1034336096","1011938707"
"1050115635","1011938707"
"1050190572","1011938707"
"1050190696","1011938707"
"1050227883","1011938707"
"11585505X","1011938707"
"115361979","1011978954"
"117067970","1011978954"
"117311421","1011978954"
"117429740","1011978954"
"117620181","1011978954"
"118525697","1011978954"
"119177323","1011978954"
"124147747","1011978954"
"124696961","1011978954"
"124916473","1011978954"
"128882034","1011978954"
"129561622","1011978954"
"131655884","1011978954"
"100019552","1011981203"
"101050992","1011981203"
"102519889","1011981203"
"104279427","1011981203"
"116479957","1011981203"
"118559486","1011981203"
"124148891","1011981203"
"129307742","1011981203"
"136783635","1011981203"
"1032145706","1011981203"
"11550639X","1011981203"
"12273484X","1011981203"
"12288065X","1011981203"
"100171842","1011991934"
"100299962","1011991934"
"100522688","1011991934"
"100832679","1011991934"
"100861091","1011991934"
"101035853","1011991934"
"101622333","1011991934"
"102317399","1011991934"
"102410550","1011991934"
"102513791","1011991934"
"102562342","1011991934"
"102832145","1011991934"
"103116346","1011991934"
"104076011","1011991934"
"115390200","1011991934"
"115419233","1011991934"
"115812776","1011991934"
"115832408","1011991934"
"115842683","1011991934"
"115870334","1011991934"
"116126442","1011991934"
"116146761","1011991934"
"116412402","1011991934"
"116539607","1011991934"
"116540702","1011991934"
"116947934","1011991934"
"117062057","1011991934"
"117338966","1011991934"
"117374903","1011991934"
"118061720","1011991934"
"118061739","1011991934"
"118062042","1011991934"
"118802712","1011991934"
"120057360","1011991934"
"120410257","1011991934"
"121701530","1011991934"
"121722279","1011991934"
"122747143","1011991934"
"123332680","1011991934"
"123421896","1011991934"
"123467047","1011991934"
"123845394","1011991934"
"124176585","1011991934"
"128350644","1011991934"
"128534540","1011991934"
"129317446","1011991934"
"129756806","1011991934"
"129756989","1011991934"
"129814903","1011991934"
"137507461","1011991934"
"140024441","1011991934"
"140951067","1011991934"
"141798327","1011991934"
"1011992736","1011991934"
"1014024285","1011991934"
"1021147869","1011991934"
"1021394890","1011991934"
"1021395021","1011991934"
"1023901277","1011991934"
"1028099487","1011991934"
"1028099487","1011991934"
"1034946390","1011991934"
"1037105001","1011991934"
"1037106202","1011991934"
"1037106350","1011991934"
"1037106407","1011991934"
"1037106636","1011991934"
"1037121627","1011991934"
"1037135741","1011991934"
"1037135962","1011991934"
"1037136187","1011991934"
"1037137582","1011991934"
"1037139178","1011991934"
"1037150244","1011991934"
"1037151054","1011991934"
"1037151119","1011991934"
"1037176200","1011991934"
"1037188047","1011991934"
"1037233808","1011991934"
"1037233808","1011991934"
"1037234391","1011991934"
"1037236580","1011991934"
"1037236580","1011991934"
"1037236998","1011991934"
"1037236998","1011991934"
"1041252250","1011991934"
"1041252404","1011991934"
"1041268807","1011991934"
"1041269714","1011991934"
"1041270186","1011991934"
"1041271093","1011991934"
"1041271441","1011991934"
"1041272022","1011991934"
"1041273126","1011991934"
"1041273274","1011991934"
"1041319355","1011991934"
"1041344740","1011991934"
"1041355106","1011991934"
"1041358040","1011991934"
"1041362323","1011991934"
"1041364628","1011991934"
"1041616023","1011991934"
"1041648197","1011991934"
"1041648766","1011991934"
"1041656807","1011991934"
"1041660979","1011991934"
"1041662092","1011991934"
"1041678169","1011991934"
"1041682182","1011991934"
"1041688326","1011991934"
"1041765746","1011991934"
"1042180202","1011991934"
"1042181330","1011991934"
"1042200335","1011991934"
"1042215502","1011991934"
"1042217556","1011991934"
"103712328X","1011991934"
"103712328X","1011991934"
"103712328X","1011991934"
"103714712X","1011991934"
"103714712X","1011991934"
"103714757X","1011991934"
"103723457X","1011991934"
"103723832X","1011991934"
"103723863X","1011991934"
"104126951X","1011991934"
"104127386X","1011991934"
"11575475X","1011991934"
"12191531X","1011991934"
"12218713X","1011991934"
"13201484X","1011991934"
"1019738790","1012215997"
"1019760656","1012215997"
"1117103226","1012215997"
"1132533759","1012215997"
"130166103","1012215997"
"143549928","1012215997"
"1012220605","1012220605"
"1012220605","1012220605"
"1132531888","1012220605"
"1132533759","1012220605"
"1124845380","101229997X"
"100327451","1012305473"
"100858457","1012305473"
"102239452","1012305473"
"103122087","1012305473"
"104106042","1012305473"
"115497773","1012305473"
"117191949","1012305473"
"118017985","1012305473"
"118018116","1012305473"
"118051490","1012305473"
"118560182","1012305473"
"118656368","1012305473"
"118693522","1012305473"
"118736183","1012305473"
"118802968","1012305473"
"119130947","1012305473"
"121726142","1012305473"
"121908631","1012305473"
"123058996","1012305473"
"123058996","1012305473"
